order_id,user_id,order_date,amount,country,currency,category
36,75,2025-04-15,228.29,Cote d'Ivoire,GMD,Books
37,421,2025-04-18,331.14,Saint Lucia,JOD,Books
38,407,2025-05-07,412.65,Maldives,WST,Books
39,122,2025-04-19,113.04,Mongolia,KMF,Books
40,141,2025-04-24,300.53,Heard Island and McDonald Islands,XAF,Books
41,100,2025-05-05,147.25,Antigua and Barbuda,SAR,Books
42,112,2025-04-29,122.27,Iceland,BHD,Clothing
43,137,2025-04-23,311.36,Korea,AFN,Toys
44,108,2025-04-24,417.9,Mozambique,UZS,Clothing
45,8,2025-04-28,77.52,Algeria,PEN,Clothing
46,138,2025-05-08,208.4,Philippines,GGP,Books
47,103,2025-05-10,291.41,Maldives,SHP,Books
48,56,2025-05-04,86.85,New Caledonia,AFN,Food
49,178,2025-04-22,280.53,Saint Pierre and Miquelon,XAF,Toys
50,220,2025-04-25,98.82,Montserrat,CUC,Toys
51,358,2025-04-14,84.02,Egypt,MOP,Food
52,48,2025-04-15,448.66,Tokelau,HNL,Clothing
53,297,2025-05-01,193.55,Antigua and Barbuda,HNL,Toys
54,441,2025-05-03,390.79,Uzbekistan,ARS,Food
55,95,2025-04-20,14.49,Palau,ZWD,Toys
56,399,2025-05-01,458.27,Antigua and Barbuda,PKR,Food
57,38,2025-05-04,248.1,Italy,TWD,Electronics
58,69,2025-04-16,151.27,Montserrat,LAK,Toys
59,20,2025-05-03,77.25,Lesotho,SCR,Food
60,79,2025-04-13,386.05,Australia,JEP,Electronics
61,172,2025-04-17,446.79,United Kingdom,NIO,Food
62,119,2025-04-27,464.05,Israel,OMR,Electronics
63,325,2025-05-03,401.45,Egypt,ZWD,Food
64,90,2025-05-05,448.79,Somalia,GGP,Food
65,484,2025-04-19,357.79,Cyprus,CVE,Books
66,11,2025-04-19,380.01,United States of America,TZS,Food
67,144,2025-05-06,492.36,Cocos (Keeling) Islands,IRR,Food
68,172,2025-04-22,262.9,Ukraine,OMR,Toys
69,198,2025-04-16,189.98,El Salvador,SVC,Electronics
70,106,2025-04-21,166.41,Togo,IDR,Electronics
71,357,2025-04-30,487.35,Uzbekistan,MXN,Food
72,8,2025-04-28,322.32,Mexico,RWF,Books
73,235,2025-04-17,209.19,Suriname,DZD,Books
74,225,2025-05-03,118.16,Slovakia (Slovak Republic),TVD,Clothing
75,277,2025-05-12,141.37,Costa Rica,XOF,Toys
76,308,2025-05-12,25.63,Estonia,BSD,Food
77,454,2025-05-10,132.43,Cote d'Ivoire,NOK,Food
78,5,2025-04-17,396.41,Congo,HRK,Electronics
79,330,2025-04-30,15.49,Saint Kitts and Nevis,UAH,Food
80,150,2025-05-08,280.84,Gambia,TJS,Clothing
81,49,2025-04-30,269.58,Lesotho,CZK,Electronics
82,353,2025-04-26,387.84,Senegal,VEF,Clothing
83,302,2025-04-21,76.38,Ethiopia,BIF,Food
84,493,2025-04-14,229.16,Kazakhstan,BOB,Food
85,429,2025-05-08,289.07,Holy See (Vatican City State),QAR,Toys
86,372,2025-05-05,487.0,Cambodia,TVD,Toys
87,141,2025-04-18,277.87,Wallis and Futuna,FJD,Toys
88,349,2025-04-22,353.6,Cocos (Keeling) Islands,BHD,Toys
89,402,2025-05-06,181.64,Greece,RWF,Electronics
90,28,2025-05-12,206.73,Czech Republic,MMK,Toys
91,16,2025-05-04,391.41,Guatemala,RSD,Clothing
92,230,2025-04-22,396.92,Rwanda,MWK,Electronics
93,488,2025-05-07,205.42,Honduras,GNF,Books
94,221,2025-05-08,344.58,Italy,KYD,Electronics
95,309,2025-04-14,40.69,Oman,TJS,Toys
96,6,2025-05-03,290.03,Algeria,XPF,Electronics
97,17,2025-05-05,387.22,Saint Pierre and Miquelon,UYU,Food
98,168,2025-05-07,309.96,Bolivia,RSD,Food
99,394,2025-05-13,422.76,Lesotho,AFN,Toys
100,51,2025-04-28,75.37,Bolivia,GEL,Clothing
101,433,2025-05-06,499.37,Tokelau,GEL,Food
102,375,2025-05-06,85.28,Panama,LKR,Clothing
103,89,2025-04-23,233.95,Denmark,SVC,Food
104,288,2025-04-16,277.49,Tonga,PLN,Electronics
105,304,2025-05-03,301.91,Botswana,BTN,Toys
106,99,2025-05-01,419.84,Niger,SRD,Electronics
107,142,2025-04-17,149.48,French Southern Territories,ISK,Electronics
108,379,2025-05-07,43.11,Belarus,LRD,Electronics
109,212,2025-04-21,456.26,Falkland Islands (Malvinas),MKD,Toys
110,213,2025-04-13,450.67,Mauritania,SRD,Electronics
111,449,2025-05-12,102.6,Vietnam,TTD,Books
112,36,2025-04-30,158.03,Nigeria,ALL,Food
113,167,2025-04-24,53.35,Aruba,GNF,Electronics
114,235,2025-05-12,490.57,Slovakia (Slovak Republic),TRY,Clothing
115,94,2025-04-16,20.98,Saint Vincent and the Grenadines,SZL,Books
116,143,2025-04-28,108.53,Montserrat,UYU,Toys
117,176,2025-04-20,242.34,Tuvalu,PAB,Clothing
118,195,2025-05-12,39.04,Bosnia and Herzegovina,JOD,Clothing
119,131,2025-05-04,280.72,Djibouti,MWK,Clothing
120,99,2025-04-29,255.8,British Indian Ocean Territory (Chagos Archipelago),ISK,Books
121,294,2025-05-10,334.39,Cyprus,KWD,Books
122,107,2025-05-11,419.52,Colombia,BIF,Electronics
123,288,2025-05-11,464.15,Reunion,ILS,Food
124,289,2025-04-17,164.17,Netherlands Antilles,KYD,Toys
125,172,2025-04-13,55.28,Bouvet Island (Bouvetoya),CDF,Toys
126,227,2025-04-22,453.59,Moldova,KRW,Electronics
127,461,2025-05-01,183.5,Jamaica,TRY,Food
128,19,2025-04-16,147.69,Austria,RUB,Toys
129,311,2025-04-25,368.35,Seychelles,AMD,Electronics
130,300,2025-04-27,66.22,Somalia,SZL,Books
131,258,2025-05-01,351.98,Guam,SRD,Food
132,401,2025-04-17,57.76,Heard Island and McDonald Islands,BZD,Toys
133,153,2025-04-19,128.44,Dominican Republic,VND,Toys
134,439,2025-05-02,460.03,Antigua and Barbuda,NAD,Food
135,491,2025-04-18,288.53,Netherlands Antilles,GYD,Electronics
136,351,2025-05-01,24.83,Antarctica (the territory South of 60 deg S),BND,Clothing
137,6,2025-05-04,431.51,Armenia,JOD,Electronics
138,264,2025-04-19,403.95,Montenegro,SHP,Clothing
139,53,2025-04-23,480.39,Gambia,OMR,Books
140,218,2025-05-11,290.86,Belize,HKD,Books
141,153,2025-05-09,31.63,United Arab Emirates,BTN,Electronics
142,50,2025-04-18,97.54,Nauru,ERN,Clothing
143,71,2025-05-08,57.36,Guam,KYD,Toys
144,493,2025-05-08,219.7,Madagascar,CLP,Books
145,313,2025-04-22,62.88,Armenia,CAD,Food
146,308,2025-04-17,305.89,Comoros,IRR,Toys
147,411,2025-04-26,261.11,Switzerland,KYD,Toys
148,116,2025-05-03,78.22,Montenegro,AUD,Electronics
149,467,2025-05-13,332.92,Fiji,KWD,Toys
150,452,2025-04-19,457.34,Syrian Arab Republic,HKD,Toys
151,125,2025-04-13,415.0,Bulgaria,NZD,Toys
152,359,2025-05-11,415.0,Martinique,QAR,Electronics
153,482,2025-04-20,236.26,Comoros,LTL,Food
154,260,2025-04-28,141.68,Panama,VUV,Electronics
155,305,2025-04-22,180.84,Azerbaijan,ERN,Food
156,368,2025-05-10,300.22,Pitcairn Islands,KHR,Food
157,342,2025-04-24,488.45,Zambia,BHD,Books
158,123,2025-05-07,487.4,Western Sahara,MRO,Clothing
159,273,2025-05-06,35.18,Bahamas,AWG,Books
160,368,2025-04-28,14.55,Germany,VND,Electronics
161,117,2025-05-08,97.89,South Africa,LKR,Clothing
162,391,2025-05-11,415.23,Brazil,GTQ,Clothing
163,411,2025-05-13,480.06,Mali,KRW,Toys
164,206,2025-04-15,431.3,Puerto Rico,LYD,Electronics
165,360,2025-04-24,301.49,Guinea-Bissau,GYD,Books
166,338,2025-04-15,385.97,Bhutan,MWK,Toys
167,371,2025-05-07,344.42,United States Minor Outlying Islands,TRY,Toys
168,472,2025-04-22,395.86,Serbia,GMD,Toys
169,322,2025-04-15,104.55,French Southern Territories,STD,Clothing
170,210,2025-04-14,203.84,Dominican Republic,CUP,Electronics
171,12,2025-04-23,113.21,Romania,GNF,Electronics
172,271,2025-04-13,292.48,Libyan Arab Jamahiriya,PEN,Toys
173,128,2025-04-24,387.12,Zimbabwe,TVD,Clothing
174,22,2025-04-14,240.4,Aruba,HKD,Books
175,336,2025-04-16,170.42,Egypt,GBP,Clothing
176,199,2025-04-21,196.11,Rwanda,THB,Food
177,445,2025-04-30,414.02,Tuvalu,AFN,Books
178,407,2025-05-09,315.36,Western Sahara,BMD,Books
179,373,2025-05-03,297.09,Switzerland,JPY,Books
180,276,2025-04-29,179.97,Nepal,GEL,Food
181,260,2025-05-07,85.18,Maldives,MAD,Toys
182,142,2025-05-07,101.43,China,PAB,Books
183,122,2025-04-20,96.48,Turkey,TMT,Clothing
184,124,2025-04-21,40.49,Madagascar,ZAR,Clothing
185,103,2025-04-21,420.06,Nauru,ETB,Toys
186,46,2025-05-04,158.43,Moldova,DOP,Food
187,22,2025-04-17,142.98,Oman,BAM,Toys
188,344,2025-04-25,420.72,Libyan Arab Jamahiriya,KRW,Electronics
189,44,2025-04-24,426.43,British Virgin Islands,MGA,Electronics
190,260,2025-05-03,426.04,Mozambique,HNL,Toys
191,324,2025-04-28,224.27,Slovenia,CLP,Electronics
192,280,2025-05-01,49.11,Serbia,MAD,Clothing
193,400,2025-05-09,493.75,Iran,XAF,Clothing
194,82,2025-05-07,309.41,Kuwait,VEF,Electronics
195,406,2025-05-12,147.77,Oman,KZT,Electronics
196,457,2025-05-05,300.31,Saint Barthelemy,BDT,Food
197,263,2025-04-20,412.09,Guyana,NIO,Toys
198,123,2025-04-14,74.44,Lao People's Democratic Republic,ALL,Food
199,494,2025-04-20,99.52,South Africa,CHF,Food
200,337,2025-05-05,299.76,Myanmar,LAK,Books
201,460,2025-05-13,32.09,Netherlands,BGN,Food
202,466,2025-04-25,494.3,Aruba,SOS,Toys
203,20,2025-04-19,255.75,Nauru,BZD,Toys
204,159,2025-04-16,477.48,Georgia,CAD,Electronics
205,108,2025-04-29,369.3,Tokelau,AUD,Clothing
206,470,2025-05-04,31.91,Kenya,MKD,Books
207,341,2025-05-10,470.08,Kiribati,SLL,Clothing
208,291,2025-05-13,494.73,Iran,TOP,Toys
209,421,2025-04-17,54.43,Latvia,CDF,Books
210,309,2025-04-23,472.13,Norway,BZD,Toys
211,202,2025-04-30,390.89,Peru,MDL,Books
212,108,2025-04-23,138.02,Reunion,KRW,Clothing
213,355,2025-04-27,13.5,Cote d'Ivoire,THB,Clothing
214,71,2025-04-16,456.48,El Salvador,XOF,Electronics
215,402,2025-05-05,25.89,Cote d'Ivoire,JPY,Food
216,265,2025-04-15,127.62,Croatia,HNL,Toys
217,52,2025-05-13,172.57,Bhutan,BDT,Electronics
218,461,2025-04-27,232.73,Mongolia,NPR,Electronics
219,18,2025-05-03,284.39,Angola,NGN,Toys
220,131,2025-05-06,274.59,Saint Barthelemy,KZT,Books
221,342,2025-04-21,229.69,Congo,MXN,Toys
222,102,2025-05-02,134.69,South Africa,MUR,Food
223,59,2025-05-05,78.1,Micronesia,ZAR,Toys
224,340,2025-04-24,320.01,Panama,OMR,Food
225,183,2025-04-22,378.25,Egypt,PAB,Electronics
226,173,2025-04-27,367.66,Eritrea,MWK,Toys
227,96,2025-05-07,212.12,Saint Helena,HKD,Toys
228,366,2025-05-09,499.54,Georgia,KMF,Toys
229,162,2025-04-25,10.34,Saint Vincent and the Grenadines,BAM,Food
230,3,2025-04-24,113.38,Hong Kong,SLL,Electronics
231,17,2025-04-24,205.15,Turks and Caicos Islands,XAF,Toys
232,285,2025-05-01,135.41,Germany,ZAR,Electronics
233,452,2025-04-21,53.82,Venezuela,YER,Food
234,395,2025-04-26,318.28,Israel,CRC,Toys
235,204,2025-05-07,295.39,Grenada,ILS,Books
236,162,2025-05-13,260.13,Anguilla,MYR,Electronics
237,162,2025-05-05,331.85,Argentina,CAD,Food
238,408,2025-04-21,176.3,Thailand,NOK,Electronics
239,298,2025-05-09,144.7,Paraguay,SYP,Food
240,327,2025-04-27,254.76,Iraq,ERN,Books
241,320,2025-05-03,313.15,French Guiana,SOS,Books
242,58,2025-05-11,398.27,Fiji,MOP,Electronics
243,58,2025-05-09,92.04,Uruguay,BYR,Electronics
244,464,2025-04-13,178.83,British Virgin Islands,PHP,Electronics
245,171,2025-05-03,375.88,Taiwan,TND,Electronics
246,108,2025-05-04,261.43,Colombia,SDG,Food
247,459,2025-04-26,103.8,Honduras,GIP,Toys
248,344,2025-05-09,93.52,Bermuda,ERN,Electronics
249,496,2025-05-05,290.47,Ghana,BZD,Electronics
250,429,2025-04-13,412.91,Egypt,BZD,Food
251,22,2025-05-05,413.02,Saint Pierre and Miquelon,OMR,Clothing
252,164,2025-05-10,485.33,Nicaragua,DOP,Toys
253,113,2025-05-05,91.65,Comoros,RWF,Books
254,388,2025-04-28,187.14,Samoa,XAF,Books
255,195,2025-04-19,362.35,Greece,HKD,Clothing
256,262,2025-05-05,113.46,Israel,MXN,Toys
257,130,2025-04-25,483.95,Canada,RSD,Toys
258,463,2025-04-15,479.34,Tajikistan,FKP,Electronics
259,314,2025-04-21,490.66,United States Minor Outlying Islands,CDF,Toys
260,235,2025-04-29,139.71,Cote d'Ivoire,GMD,Books
261,160,2025-04-20,235.43,Djibouti,XDR,Food
262,407,2025-05-03,286.93,Bahamas,GEL,Toys
263,269,2025-04-19,18.84,Seychelles,BGN,Clothing
264,263,2025-05-07,122.32,Belarus,CVE,Books
265,210,2025-04-23,18.27,Antigua and Barbuda,LKR,Clothing
266,319,2025-05-09,442.7,Syrian Arab Republic,AOA,Food
267,386,2025-05-03,454.57,Iraq,TMT,Electronics
268,146,2025-04-29,334.64,Ethiopia,ANG,Clothing
269,137,2025-04-22,454.37,Reunion,YER,Clothing
270,414,2025-04-25,126.51,Mozambique,GNF,Toys
271,15,2025-05-03,110.35,Mali,NAD,Toys
272,373,2025-04-24,11.16,United Kingdom,OMR,Books
273,101,2025-05-04,443.41,Bahrain,IMP,Toys
274,26,2025-04-24,233.3,Kuwait,RSD,Food
275,231,2025-05-10,440.32,Latvia,SEK,Electronics
276,20,2025-04-26,368.67,United States Virgin Islands,SPL,Clothing
277,382,2025-04-13,288.97,Kazakhstan,GGP,Electronics
278,449,2025-04-21,102.53,Reunion,PLN,Books
279,256,2025-04-25,489.65,Saint Lucia,UZS,Clothing
280,211,2025-04-20,441.35,Algeria,MZN,Clothing
281,265,2025-04-30,167.89,Saint Martin,RWF,Books
282,360,2025-05-12,444.05,Montenegro,MMK,Food
283,73,2025-04-20,380.83,South Georgia and the South Sandwich Islands,BBD,Clothing
284,187,2025-04-19,59.41,Maldives,BGN,Toys
285,114,2025-04-23,329.73,Angola,DZD,Toys
286,217,2025-04-17,185.96,Russian Federation,ZAR,Electronics
287,462,2025-05-04,387.67,Lesotho,LAK,Electronics
288,321,2025-05-06,29.4,Saint Vincent and the Grenadines,MNT,Toys
289,456,2025-04-30,81.8,Saint Lucia,LYD,Food
290,357,2025-05-05,379.64,Seychelles,BAM,Electronics
291,270,2025-04-27,158.91,India,JMD,Clothing
292,222,2025-04-26,366.14,Colombia,XAF,Electronics
293,204,2025-05-11,99.33,Central African Republic,SPL,Books
294,364,2025-04-20,257.5,Mayotte,LAK,Food
295,443,2025-05-04,248.55,Rwanda,MDL,Books
296,395,2025-05-02,449.71,Gabon,QAR,Clothing
297,412,2025-05-12,398.24,Cook Islands,ZMW,Clothing
298,75,2025-05-01,360.6,Paraguay,KES,Toys
299,452,2025-05-01,275.42,Lithuania,PHP,Books
300,237,2025-05-01,67.53,Cayman Islands,WST,Clothing
301,237,2025-04-22,92.05,Saint Martin,BIF,Books
302,149,2025-05-12,229.99,Djibouti,SHP,Books
303,190,2025-04-20,116.26,Bouvet Island (Bouvetoya),NOK,Books
304,70,2025-04-28,485.82,Pakistan,LBP,Electronics
305,16,2025-04-25,391.43,Dominica,AZN,Toys
306,378,2025-04-25,361.6,United Arab Emirates,MGA,Toys
307,233,2025-04-20,449.83,Anguilla,NOK,Clothing
308,186,2025-05-09,207.03,Burundi,MOP,Electronics
309,260,2025-05-09,168.96,Comoros,MVR,Toys
310,438,2025-04-15,402.79,Zambia,PKR,Toys
311,397,2025-04-18,25.63,Turks and Caicos Islands,UGX,Clothing
312,393,2025-05-07,239.31,Switzerland,ILS,Toys
313,329,2025-04-24,213.12,Korea,VEF,Books
314,33,2025-05-11,10.96,Ethiopia,RON,Food
315,485,2025-05-05,464.66,Tunisia,ANG,Toys
316,433,2025-04-23,282.05,Portugal,JOD,Food
317,466,2025-04-24,319.75,Anguilla,ANG,Toys
318,453,2025-04-24,178.19,United States Minor Outlying Islands,GMD,Food
319,388,2025-04-30,490.84,Spain,RSD,Food
320,266,2025-04-25,379.79,Qatar,KMF,Toys
321,190,2025-04-29,372.41,Heard Island and McDonald Islands,KGS,Toys
322,312,2025-04-22,36.99,Bulgaria,PEN,Electronics
323,177,2025-05-12,185.66,French Polynesia,SEK,Electronics
324,476,2025-04-17,17.97,Mongolia,TMT,Food
325,7,2025-05-13,321.94,Peru,ZMW,Toys
326,493,2025-04-19,264.49,Poland,BIF,Clothing
327,142,2025-05-03,466.27,Hong Kong,IQD,Food
328,337,2025-05-10,461.71,Belgium,MUR,Toys
329,435,2025-05-05,433.61,Slovakia (Slovak Republic),TJS,Books
330,499,2025-04-28,63.28,Namibia,TVD,Food
331,325,2025-04-27,343.41,Cameroon,IQD,Books
332,361,2025-04-25,170.49,Korea,TTD,Books
333,499,2025-04-23,388.4,Korea,GMD,Books
334,74,2025-04-25,394.66,American Samoa,SOS,Electronics
335,334,2025-04-23,138.47,Liechtenstein,ZMW,Food
336,111,2025-04-30,349.34,Central African Republic,MZN,Books
337,152,2025-04-22,139.36,United Arab Emirates,IMP,Books
338,23,2025-05-05,396.58,Bouvet Island (Bouvetoya),TND,Electronics
339,103,2025-04-25,450.77,Costa Rica,BBD,Electronics
340,343,2025-04-21,113.86,Montenegro,LRD,Toys
341,179,2025-05-08,379.26,Tunisia,KZT,Food
342,430,2025-05-11,255.56,Korea,CUC,Toys
343,465,2025-05-01,207.24,Antigua and Barbuda,PLN,Electronics
344,500,2025-04-25,13.82,Marshall Islands,BZD,Toys
345,458,2025-05-04,481.89,Mexico,BRL,Clothing
346,44,2025-04-23,178.43,Rwanda,ERN,Food
347,480,2025-04-18,479.01,Haiti,GMD,Electronics
348,483,2025-05-11,454.84,Gambia,COP,Electronics
349,342,2025-04-30,197.61,Morocco,CUC,Books
350,493,2025-04-29,198.45,Turkmenistan,MYR,Books
351,370,2025-04-17,222.89,Ireland,FKP,Toys
352,154,2025-04-20,246.83,Eritrea,SOS,Clothing
353,349,2025-04-28,401.11,Georgia,AOA,Toys
354,187,2025-04-18,109.74,Northern Mariana Islands,KHR,Toys
355,377,2025-04-16,188.36,French Guiana,DZD,Toys
356,400,2025-04-30,82.35,Palestinian Territory,GNF,Food
357,485,2025-04-24,21.08,Japan,GMD,Food
358,174,2025-05-03,211.91,Holy See (Vatican City State),XDR,Electronics
359,74,2025-04-24,22.49,Isle of Man,SLL,Clothing
360,387,2025-04-28,334.93,Solomon Islands,GEL,Toys
361,176,2025-04-25,378.21,Russian Federation,AED,Electronics
362,91,2025-04-20,122.28,China,GNF,Clothing
363,213,2025-05-09,413.52,United Arab Emirates,PYG,Electronics
364,204,2025-04-26,97.81,Northern Mariana Islands,KHR,Food
365,496,2025-04-22,187.09,Nauru,GYD,Electronics
366,452,2025-04-17,71.93,Sierra Leone,TRY,Food
367,470,2025-05-08,181.89,Bhutan,RSD,Books
368,491,2025-05-12,420.84,Marshall Islands,LSL,Clothing
369,410,2025-05-04,427.05,Zimbabwe,MOP,Food
370,26,2025-05-06,225.61,El Salvador,CUP,Food
371,226,2025-04-17,186.02,Micronesia,UZS,Food
372,54,2025-05-06,306.4,Romania,RON,Food
373,350,2025-04-14,82.84,Palestinian Territory,TJS,Clothing
374,296,2025-05-07,205.99,Bangladesh,ZMW,Electronics
375,162,2025-05-03,408.22,Gambia,AED,Clothing
376,283,2025-05-11,335.55,Kiribati,HUF,Toys
377,392,2025-04-14,414.52,Costa Rica,TOP,Books
378,147,2025-05-04,205.83,Falkland Islands (Malvinas),BIF,Electronics
379,267,2025-04-24,339.54,Germany,HRK,Clothing
380,327,2025-04-18,177.78,Afghanistan,CDF,Clothing
381,160,2025-05-09,443.27,Martinique,ALL,Food
382,326,2025-04-24,380.48,Netherlands,NIS,Food
383,20,2025-04-25,50.21,Mongolia,OMR,Books
384,156,2025-05-08,151.53,Guatemala,ISK,Toys
385,331,2025-04-17,292.79,United Arab Emirates,ALL,Clothing
386,357,2025-04-13,271.92,Iran,VEF,Toys
387,491,2025-05-08,200.72,Guernsey,LTL,Toys
388,315,2025-04-26,266.88,British Virgin Islands,JEP,Food
389,197,2025-04-15,309.52,China,TMT,Food
390,168,2025-04-21,10.07,Libyan Arab Jamahiriya,RSD,Food
391,291,2025-04-21,245.15,Faroe Islands,RWF,Toys
392,378,2025-05-10,277.0,Angola,BDT,Toys
393,408,2025-05-04,15.04,Somalia,SBD,Electronics
394,399,2025-04-20,179.94,Lithuania,AUD,Toys
395,465,2025-04-28,60.26,Brunei Darussalam,GYD,Clothing
396,68,2025-04-20,327.39,American Samoa,MOP,Books
397,473,2025-05-08,135.04,Turkmenistan,IRR,Food
398,169,2025-04-18,475.69,Comoros,TWD,Clothing
399,104,2025-04-25,107.41,Egypt,IMP,Toys
400,419,2025-05-13,495.78,Dominican Republic,TND,Electronics
401,384,2025-05-06,173.19,New Zealand,GIP,Clothing
402,294,2025-05-07,375.11,Norfolk Island,MOP,Food
403,48,2025-04-13,110.83,Guam,HKD,Toys
404,32,2025-05-06,409.99,Paraguay,BSD,Electronics
405,97,2025-05-05,67.46,Japan,GMD,Toys
406,58,2025-05-03,69.25,Bouvet Island (Bouvetoya),MDL,Clothing
407,456,2025-04-22,320.17,Chile,MRO,Food
408,145,2025-04-29,456.13,Pakistan,UGX,Electronics
409,248,2025-05-08,435.28,Latvia,SOS,Food
410,381,2025-05-06,21.32,Slovenia,AED,Books
411,197,2025-04-26,82.33,Colombia,MNT,Toys
412,452,2025-04-26,385.68,Serbia,SEK,Books
413,160,2025-04-27,59.22,Faroe Islands,CDF,Food
414,101,2025-05-04,233.84,Angola,RWF,Clothing
415,18,2025-05-10,498.98,Philippines,ZMW,Toys
416,92,2025-04-24,64.04,New Zealand,TND,Electronics
417,48,2025-04-21,341.47,Bolivia,SAR,Electronics
418,461,2025-05-03,159.72,Jersey,LBP,Food
419,300,2025-04-20,376.02,Saint Pierre and Miquelon,DOP,Books
420,253,2025-05-01,368.72,Colombia,NGN,Toys
421,116,2025-05-06,126.73,Vanuatu,KWD,Clothing
422,232,2025-04-28,365.18,Kyrgyz Republic,FJD,Electronics
423,106,2025-04-25,471.15,Japan,AZN,Clothing
424,249,2025-04-23,308.91,Equatorial Guinea,MRO,Toys
425,468,2025-04-29,358.9,Papua New Guinea,BTN,Food
426,115,2025-04-14,42.81,Antigua and Barbuda,NOK,Electronics
427,241,2025-05-09,146.45,Ethiopia,HKD,Electronics
428,90,2025-04-29,417.83,Jordan,SZL,Food
429,115,2025-05-13,69.21,San Marino,SAR,Electronics
430,88,2025-04-22,112.75,Montenegro,XDR,Food
431,33,2025-04-21,298.15,Lebanon,SZL,Clothing
432,396,2025-05-09,261.77,Madagascar,IMP,Books
433,32,2025-05-12,143.64,Panama,NAD,Toys
434,471,2025-05-03,283.76,Malta,SAR,Books
435,191,2025-04-24,142.45,Turkey,IMP,Electronics
436,218,2025-05-04,37.18,Sweden,BMD,Books
437,282,2025-04-20,285.84,Guyana,JEP,Books
438,346,2025-04-16,426.09,Cote d'Ivoire,XDR,Food
439,229,2025-04-30,16.21,Bolivia,UYU,Toys
440,154,2025-04-26,209.33,Poland,SLL,Books
441,433,2025-04-25,23.61,China,BRL,Food
442,98,2025-05-13,433.56,New Zealand,MNT,Electronics
443,61,2025-05-03,294.58,Saint Barthelemy,KRW,Clothing
444,489,2025-04-26,282.37,Tanzania,MXN,Toys
445,320,2025-05-05,499.73,Liberia,ISK,Toys
446,45,2025-04-29,413.64,Hong Kong,MKD,Toys
447,50,2025-04-23,373.32,Botswana,SDG,Toys
448,197,2025-04-15,429.69,Netherlands Antilles,UYU,Food
449,466,2025-05-06,167.17,Azerbaijan,RUB,Toys
450,452,2025-04-19,126.9,Macao,CHF,Food
451,34,2025-04-26,187.38,Netherlands,KGS,Electronics
452,259,2025-04-24,174.44,Latvia,STD,Books
453,45,2025-05-09,391.34,Falkland Islands (Malvinas),DZD,Toys
454,243,2025-05-08,89.71,Monaco,BZD,Food
455,205,2025-04-14,396.73,Austria,BWP,Toys
456,97,2025-05-13,324.97,Singapore,KWD,Clothing
457,378,2025-05-12,221.07,New Caledonia,LYD,Toys
458,242,2025-05-12,82.24,Tunisia,JOD,Food
459,11,2025-04-21,474.57,Andorra,DOP,Clothing
460,404,2025-05-09,488.83,Reunion,DOP,Toys
461,43,2025-05-03,499.23,Croatia,LYD,Toys
462,20,2025-05-07,271.67,Afghanistan,LKR,Electronics
463,204,2025-04-28,227.28,Portugal,HUF,Electronics
464,474,2025-05-04,121.01,Morocco,SYP,Food
465,329,2025-04-14,279.84,Nicaragua,EGP,Clothing
466,237,2025-05-03,427.43,Wallis and Futuna,AOA,Books
467,391,2025-05-08,50.74,Angola,AWG,Food
468,191,2025-04-24,307.06,South Georgia and the South Sandwich Islands,CZK,Toys
